,n_components,kernel,best_c,best_degree,best_gamma,best_score,accuracy
0,50,linear,0.01,,,0.9185998983821598,0.9201
1,100,linear,0.01,,,0.9230003384261641,0.925
2,200,linear,0.01,,,0.9252002584781573,0.9311
3,50,rbf,1.0,,0.001,0.9325001186381385,0.9366
4,100,rbf,1.0,,0.001,0.9344998687031271,0.9411
5,200,rbf,1.0,,0.001,0.9333998486831288,0.9421
6,50,poly,0.1,3.0,0.01,0.944399658922101,0.9506
7,100,poly,1.0,3.0,0.01,0.9517001190221,0.9543
8,200,poly,0.001,3.0,0.1,0.9511997990440916,0.9583
